timestamp,event,details,image_path
2025-11-13T13:26:16.722415,alarm,Fire (heuristic),detections\alarm_20251113_132616_711040.jpg
2025-11-13T13:26:16.989194,alarm,Fire (heuristic),detections\alarm_20251113_132616_979139.jpg
2025-11-13T13:26:17.183533,alarm,Fire (heuristic),detections\alarm_20251113_132617_172907.jpg
2025-11-13T13:26:17.392267,alarm,Fire (heuristic),detections\alarm_20251113_132617_381715.jpg
2025-11-13T13:26:17.628315,alarm,Fire (heuristic),detections\alarm_20251113_132617_619492.jpg
2025-11-13T13:26:17.830870,alarm,Fire (heuristic),detections\alarm_20251113_132617_822110.jpg
2025-11-13T13:26:18.128084,alarm,Fire (heuristic),detections\alarm_20251113_132618_119634.jpg
2025-11-13T13:26:18.328415,alarm,Fire (heuristic),detections\alarm_20251113_132618_319303.jpg
2025-11-13T13:26:18.499054,alarm,Fire (heuristic),detections\alarm_20251113_132618_490259.jpg
2025-11-13T13:26:18.678838,alarm,Fire (heuristic),detections\alarm_20251113_132618_669110.jpg
2025-11-13T13:26:18.920221,alarm,Fire (heuristic),detections\alarm_20251113_132618_909719.jpg
2025-11-13T13:26:19.095117,alarm,Fire (heuristic),detections\alarm_20251113_132619_086345.jpg
2025-11-13T13:26:19.258153,alarm,Fire (heuristic),detections\alarm_20251113_132619_246596.jpg
2025-11-13T13:26:19.426344,alarm,Fire (heuristic),detections\alarm_20251113_132619_413765.jpg
2025-11-13T13:26:19.625355,alarm,Fire (heuristic),detections\alarm_20251113_132619_615314.jpg
2025-11-13T13:26:19.832773,alarm,Fire (heuristic),detections\alarm_20251113_132619_824049.jpg
2025-11-13T13:26:20.028748,alarm,Fire (heuristic),detections\alarm_20251113_132620_018523.jpg
2025-11-13T13:26:20.255797,alarm,Fire (heuristic),detections\alarm_20251113_132620_243774.jpg
2025-11-13T13:26:20.442087,alarm,Fire (heuristic),detections\alarm_20251113_132620_431506.jpg
2025-11-13T13:26:20.724145,alarm,Fire (heuristic),detections\alarm_20251113_132620_712495.jpg
2025-11-13T13:26:20.953608,alarm,Fire (heuristic),detections\alarm_20251113_132620_942696.jpg
2025-11-13T13:26:21.156781,alarm,Fire (heuristic),detections\alarm_20251113_132621_147306.jpg
2025-11-13T13:26:21.325105,alarm,Fire (heuristic),detections\alarm_20251113_132621_315289.jpg
2025-11-13T13:26:21.514372,alarm,Fire (heuristic),detections\alarm_20251113_132621_503720.jpg
2025-11-13T13:26:21.719515,alarm,Fire (heuristic),detections\alarm_20251113_132621_710356.jpg
2025-11-13T13:26:21.951286,alarm,Fire (heuristic),detections\alarm_20251113_132621_941921.jpg
2025-11-13T13:26:22.147069,alarm,Fire (heuristic),detections\alarm_20251113_132622_137559.jpg
2025-11-13T13:26:22.333569,alarm,Fire (heuristic),detections\alarm_20251113_132622_323782.jpg
2025-11-13T13:26:22.526078,alarm,Fire (heuristic),detections\alarm_20251113_132622_514986.jpg
2025-11-13T13:26:22.771371,alarm,Fire (heuristic),detections\alarm_20251113_132622_760565.jpg
2025-11-13T13:26:23.007799,alarm,Fire (heuristic),detections\alarm_20251113_132622_997145.jpg
2025-11-13T13:26:23.234750,alarm,Fire (heuristic),detections\alarm_20251113_132623_224385.jpg
2025-11-13T13:26:23.418317,alarm,Fire (heuristic),detections\alarm_20251113_132623_408476.jpg
2025-11-13T13:26:23.646068,alarm,Fire (heuristic),detections\alarm_20251113_132623_635851.jpg
2025-11-13T13:26:23.861332,alarm,Fire (heuristic),detections\alarm_20251113_132623_851281.jpg
2025-11-13T13:26:24.081381,alarm,Fire (heuristic),detections\alarm_20251113_132624_072260.jpg
2025-11-13T13:26:24.281558,alarm,Fire (heuristic),detections\alarm_20251113_132624_271521.jpg
2025-11-13T13:26:24.293323,record_end,,detections\clip_20251113_132616.mp4
2025-11-13T13:26:24.457268,alarm,Fire (heuristic),detections\alarm_20251113_132624_447248.jpg
2025-11-13T13:26:24.462278,record_start,Fire (heuristic),detections\clip_20251113_132624.mp4
2025-11-13T13:26:24.653301,alarm,Fire (heuristic),detections\alarm_20251113_132624_643963.jpg
2025-11-13T13:26:24.859274,alarm,Fire (heuristic),detections\alarm_20251113_132624_848238.jpg
2025-11-13T13:26:25.077940,alarm,Fire (heuristic),detections\alarm_20251113_132625_068469.jpg
2025-11-13T13:26:25.235298,alarm,Fire (heuristic),detections\alarm_20251113_132625_227090.jpg
2025-11-13T13:26:25.392336,alarm,Fire (heuristic),detections\alarm_20251113_132625_382916.jpg
2025-11-13T13:26:25.567263,alarm,Fire (heuristic),detections\alarm_20251113_132625_557742.jpg
2025-11-13T13:26:25.785300,alarm,Fire (heuristic),detections\alarm_20251113_132625_775875.jpg
2025-11-13T13:26:26.026462,alarm,Fire (heuristic),detections\alarm_20251113_132626_015876.jpg
2025-11-13T13:26:26.232280,alarm,Fire (heuristic),detections\alarm_20251113_132626_223760.jpg
2025-11-13T13:26:26.401625,alarm,Fire (heuristic),detections\alarm_20251113_132626_391925.jpg
2025-11-13T13:26:26.583427,alarm,Fire (heuristic),detections\alarm_20251113_132626_573332.jpg
2025-11-13T13:26:26.829714,alarm,Fire (heuristic),detections\alarm_20251113_132626_818885.jpg
2025-11-13T13:26:27.236418,alarm,Fire (heuristic),detections\alarm_20251113_132627_226300.jpg
2025-11-13T13:26:27.397102,alarm,Fire (heuristic),detections\alarm_20251113_132627_387678.jpg
2025-11-13T13:26:27.590443,alarm,Fire (heuristic),detections\alarm_20251113_132627_579692.jpg
2025-11-13T13:26:27.771163,alarm,Fire (heuristic),detections\alarm_20251113_132627_762548.jpg
2025-11-13T13:26:27.961764,alarm,Fire (heuristic),detections\alarm_20251113_132627_952105.jpg
2025-11-13T13:26:28.146719,alarm,Fire (heuristic),detections\alarm_20251113_132628_136305.jpg
